Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
APEX ENERGY (PA) LLC,1,EISAMAN SOUTH PAD-43 5H,2223.48739,GasWell,40.288344,-79.637694
APEX ENERGY (PA) LLC,1,EISAMAN SOUTH PAD-43 4H,2223.48739,GasWell,40.288381,-79.637675
RANGE RESOURCES APPALACHIA LLC,1,A&D FERGUSON DEV UNIT 1H,169.00152,GasWell,40.291039,-80.247789
RANGE RESOURCES APPALACHIA LLC,1,ALEXANDER UNIT 3,8.389,GasWell,40.291606,-80.311832
RANGE RESOURCES APPALACHIA LLC,1,RODENSKI UNIT 1H-A,7.67787,GasWell,40.292467,-80.298387
RANGE RESOURCES APPALACHIA LLC,1,PARIS ALEX UNIT 2H,465.15566,GasWell,40.292886,-80.461025
RANGE RESOURCES APPALACHIA LLC,1,MACINTYRE UNIT 1H,320.33858,GasWell,40.293275,-80.390961
APEX ENERGY (PA) LLC,1,WEITZ SOUTH PAD-20 9H,526.95265,GasWell,40.294144,-79.647024
APEX ENERGY (PA) LLC,1,WEITZ SOUTH PAD-20 8H,543.25621,GasWell,40.294167,-79.647111
APEX ENERGY (PA) LLC,1,MARIAN LASKOWSKI 7,494.70524,GasWell,40.29436,-79.625329
APEX ENERGY (PA) LLC,1,MARIAN LASKOWSKI 6,507.43457,GasWell,40.29646,-79.629159
RANGE RESOURCES APPALACHIA LLC,1,MIDLER/FROEBE A UNIT 1H,299.13841,GasWell,40.296611,-80.411825
RANGE RESOURCES APPALACHIA LLC,1,LEHMAN UNIT 1,412.23606,GasWell,40.298717,-80.378639
RANGE RESOURCES APPALACHIA LLC,1,MIDLER/FROEBE B UNIT 5H,287.17174,GasWell,40.299369,-80.4075
RANGE RESOURCES APPALACHIA LLC,1,GALARAN UNIT 1H,498.51101,GasWell,40.302183,-80.473553
RANGE RESOURCES APPALACHIA LLC,1,LESNICK JOHN 11170 1H,5451.85805,GasWell,40.302769,-80.261894
XTO ENERGY INC,1,NELSON 8557H,257.25684,GasWell,40.303886,-79.216714
XTO ENERGY INC,1,NELSON 8392H,257.25684,GasWell,40.3039,-79.216755
XTO ENERGY INC,1,NELSON 8558H,257.25684,GasWell,40.303911,-79.216694
RANGE RESOURCES APPALACHIA LLC,1,MENICHI UNIT 10H,241.59831,GasWell,40.304456,-80.327297
RANGE RESOURCES APPALACHIA LLC,1,POLLANA UNIT 1H,271.00025,GasWell,40.30525,-80.360975
RANGE RESOURCES APPALACHIA LLC,1,ENGEL UNIT 10H,73.91919,GasWell,40.305997,-80.234183
RANGE RESOURCES APPALACHIA LLC,1,COWDEN WILLIAM UNIT 1H,391.65101,GasWell,40.307994,-80.369928
RANGE RESOURCES APPALACHIA LLC,1,CHECHUCK GEORGE UNIT 1H,320.20117,GasWell,40.309478,-80.406956
XTO ENERGY INC,1,MUIR 8444H,257.25683,GasWell,40.309931,-79.179734
XTO ENERGY INC,1,MUIR 8579H,257.25684,GasWell,40.309981,-79.179744
RANGE RESOURCES APPALACHIA LLC,1,MCMASTER UNIT 1H,366.39953,GasWell,40.310367,-80.302739
RANGE RESOURCES APPALACHIA LLC,1,CARTER 2,0.22771,GasWell,40.310956,-80.325981
RANGE RESOURCES APPALACHIA LLC,1,"WALASIK, TERRY UNIT 1H",1821.0291,GasWell,40.312286,-80.494839
XTO ENERGY INC,1,CHRISTIANSON 8436H,214.47684,GasWell,40.314711,-79.166547
RANGE RESOURCES APPALACHIA LLC,1,DRUGMAND UNIT 1H,340.66117,GasWell,40.320306,-80.302333
RANGE RESOURCES APPALACHIA LLC,1,MILLER WILLIAM 10129 2H,24.45236,GasWell,40.322186,-80.473547
RANGE RESOURCES APPALACHIA LLC,1,CARNS DONALD UNIT 11H,333.66252,GasWell,40.325378,-80.372906
RANGE RESOURCES APPALACHIA LLC,1,BURKETT UNIT 10H,369.52865,GasWell,40.327283,-80.456481
RANGE RESOURCES APPALACHIA LLC,1,COWDEN UNIT 3H,117.43543,GasWell,40.328133,-80.295887
RANGE RESOURCES APPALACHIA LLC,1,CARNS DONALD B UNIT 10H,392.71856,GasWell,40.328986,-80.359417
RANGE RESOURCES APPALACHIA LLC,1,COWDEN UNIT 1H,12.1318,GasWell,40.330106,-80.281747
XPR RESOURCES LLC,1,GERA 1-5H,641.2932,GasWell,40.331011,-79.335944
RANGE RESOURCES APPALACHIA LLC,1,YONKER GEORGE 11360 8H,408.98384,GasWell,40.334822,-80.275322
RANGE RESOURCES APPALACHIA LLC,1,CAMPBELL JACOB UNIT 1H,9783.72883,GasWell,40.336283,-80.348881
XTO ENERGY INC,1,RITENOUR 4H (8446H),257.25684,GasWell,40.336317,-79.155344
XTO ENERGY INC,1,RITENOUR 2H,259.91007,GasWell,40.336331,-79.155311
XPR RESOURCES LLC,1,USCHAK 2 2H,1002.10655,GasWell,40.336919,-79.360156
RANGE RESOURCES APPALACHIA LLC,1,MCC PARTNERS (WEST) UNIT 10H,394.7276,GasWell,40.337164,-80.443858
XTO ENERGY INC,1,SCAIFE 8451H,257.25744,GasWell,40.338836,-79.131725
XPR RESOURCES LLC,1,USCHAK 1 1H,655.69742,GasWell,40.340358,-79.363422
XTO ENERGY INC,1,ECKELS 8448H,257.25843,GasWell,40.341356,-79.145666
XTO ENERGY INC,1,ECKELS 8590H,257.25684,GasWell,40.341392,-79.145644
XTO ENERGY INC,1,FLICKINGER 2H,257.25681,GasWell,40.341972,-79.088983
XTO ENERGY INC,1,FLICKINGER UNIT 8447H,258.91298,GasWell,40.342025,-79.088987
RANGE RESOURCES APPALACHIA LLC,1,GODWIN GEORGE UNIT 1H,841.94548,GasWell,40.343111,-80.405358
RANGE RESOURCES APPALACHIA LLC,1,MCC PARTNERS UNIT 1H,350.44426,GasWell,40.343519,-80.431825
RANGE RESOURCES APPALACHIA LLC,1,PETRICCA DANIEL UNIT 1H,322.23208,GasWell,40.344242,-80.394336
RANGE RESOURCES APPALACHIA LLC,1,INCHES UNIT 1H,319.11103,GasWell,40.348042,-80.370269
XPR RESOURCES LLC,1,ANDROSTIC 3H,423.05359,GasWell,40.348992,-79.3585
XPR RESOURCES LLC,1,MARCO 1H-A,656.77577,GasWell,40.349033,-79.347072
RANGE RESOURCES APPALACHIA LLC,1,TOWARD UNIT 1H,262.08606,GasWell,40.349972,-80.295481
RANGE RESOURCES APPALACHIA LLC,1,MOCEK JOHN 11222 4H,338.11431,GasWell,40.353008,-80.334203
XPR RESOURCES LLC,1,NATIONAL METALS NE 1-2H,328.65965,GasWell,40.353947,-79.334769
RANGE RESOURCES APPALACHIA LLC,1,CHIARELLI UNIT 10H,301.40247,GasWell,40.354533,-80.280256
XPR RESOURCES LLC,1,SKACEL 1-5H,328.65507,GasWell,40.354836,-79.306178
RANGE RESOURCES APPALACHIA LLC,1,MALINKY UNIT 6H,5802.95372,GasWell,40.362419,-80.307544
RANGE RESOURCES APPALACHIA LLC,1,ALOE FAMILY UNIT 2H,317.78034,GasWell,40.363003,-80.269153
XPR RESOURCES LLC,1,SLAVEK TRUST UNIT 3H,328.63622,GasWell,40.363083,-79.331639
XPR RESOURCES LLC,1,MCBROOM 1-2H,821.07938,GasWell,40.363856,-79.299767
CHEVRON APPALACHIA LLC,1,FRYE UNIT 13H,374.22525,GasWell,40.365379,-79.480605
XPR RESOURCES LLC,1,SLAVEK TRUST UNIT 1H,164.54876,GasWell,40.367694,-79.329278
RANGE RESOURCES APPALACHIA LLC,1,SASSO LEONARD UNIT 10H,2357.76128,GasWell,40.367825,-80.357922
RANGE RESOURCES APPALACHIA LLC,1,MUSKOVICH PHILIP 12080 1H,334.00833,GasWell,40.369133,-80.438022
XPR RESOURCES LLC,1,PANIZZI UNIT NO 1 2H,492.78505,GasWell,40.37122,-79.339618
XPR RESOURCES LLC,1,FRYE SOUTH 1-2H,328.11787,GasWell,40.375272,-79.286622
XPR RESOURCES LLC,1,DURALIA 1-2H,1133.98146,GasWell,40.376594,-79.28045
RANGE RESOURCES APPALACHIA LLC,1,PANGERSIS FAMILY 11290 5H,259.2356,GasWell,40.378189,-80.293197
XPR RESOURCES LLC,1,EAGLEHOUSE 5H,492.80465,GasWell,40.380825,-79.328327
RANGE RESOURCES APPALACHIA LLC,1,IMPERIAL LAND UNIT 27H,8429.73293,GasWell,40.380967,-80.256569
CAMPBELL OIL & GAS INC,1,DUFF 1H,257.59108,GasWell,40.381644,-79.292631
DIVERSIFIED OIL & GAS LLC,1,KEPPLE 4H,105.15219,GasWell,40.3845,-79.500806
RANGE RESOURCES APPALACHIA LLC,1,IMPERIAL LAND UNIT 11H,279.77388,GasWell,40.384875,-80.278247
